5960	7	586
7238	11	10484
7432	37	9578
10717	34	7340
5736	10	1684
793	47	7445
5783	15	889
9007	47	6541
11479	7	6046
9586	15	1325
7796	21	2822
939	15	894
5989	39	3915
2895	47	4578
7580	21	9229
5074	8	11163
7982	10	3314
7764	11	5764
4792	11	3074
1238	15	895
7322	11	7478
9924	15	898
7713	11	427
7546	21	3100
1065	15	890
2951	10	3093
451	10	1684
2942	11	5872
3047	10	4428
11287	21	596
7107	34	866
4256	11	4712
9216	10	6213
10350	10	3093
5940	7	385
5991	10	10611
10262	11	2071
10046	33	4894
4492	10	6133
861	10	10522
703	15	1270
1031	15	891
3371	21	11324
1797	43	5168
605	15	893
10496	43	9241
9750	10	5740
10965	7	3843
3295	9	7190
1305	11	1173
1102	15	894
2844	20	9112
7973	47	2162
5108	47	7432
1681	15	6216
3295	9	2693
5579	43	10680
10752	11	10048
4394	33	3916
2491	15	894
8121	10	6217
4136	10	3093
11163	10	6213
5049	31	3742
5293	25	1600
4530	15	891
6834	11	5468
576	25	2571
2861	14	2473
7655	11	9602
5866	21	5367
9072	10	10590
9576	47	4024
11016	11	381
2723	15	897
924	15	890
9110	10	3999
1868	34	6895
9007	10	3314
3095	10	10522
10309	33	6354
8171	47	7577
7782	31	5579
1426	50	7439
5262	7	6372
10011	25	3654
1728	10	3093
7336	39	1351
4783	21	10631
8001	10	3999
2283	36	10055
8080	10	3636
9080	15	1127
204	47	2780
5576	11	4781
2638	11	9451
1009	15	890
8443	10	1593
6350	11	4641
5579	15	3787
5050	47	3934
575	10	3093
2036	32	6446
7903	47	7433
9187	10	2576
6991	43	8213
9792	10	2925
1083	15	895
7406	10	3093
5989	31	2487
1448	47	5389
8228	38	11287
8432	11	3626
3305	31	5579
5552	7	859
2699	11	2833
10770	7	6513
10106	10	7294
2957	31	3742
2369	42	8363
8649	11	10634
7844	49	6379
8248	47	4381
5137	47	223
652	15	893
10895	10	10310
699	15	895
9460	31	5579
11448	15	897
4521	11	3289
10201	11	7481
5800	10	4817
8425	34	6823
3663	48	4230
5178	10	3093
6937	31	2662
1960	10	1664
1239	15	897
9460	10	1726
2636	31	3742
9455	43	6276
9237	11	4718
11328	15	897
5653	10	3393
2370	37	2435
6941	10	3172
4688	25	6056
10849	10	3999
2860	11	4718
7876	11	5468
6455	11	10194
563	36	11313
7989	10	10611
9860	31	5579
9239	35	4049
4332	37	4452
9582	47	10787
231	10	3093
2755	21	8820
7508	23	5579
7716	20	28
2993	10	3093
7159	34	10962
7985	11	411
3647	34	7340
7604	21	5672
1426	50	7237
3013	11	7434
1991	43	490
11389	10	7294
2069	11	4284
4563	22	10055
5871	31	5579
4706	36	6283
5726	15	889
4319	11	7784
3524	21	5672
2857	7	774
1063	15	889
5662	31	3742
1633	31	6600
8970	47	2162
1917	25	6243
9858	15	894
10515	23	5579
1024	15	891
10055	39	6835
5442	14	8895
6671	11	3074
8787	11	10862
2735	11	374
48	31	3742
1998	11	11483
2617	31	6052
2372	10	3534
5803	10	4203
6797	31	3742
2532	12	6589
11036	21	5066
1988	23	196
550	31	9491
4645	47	4540
384	37	5598
8070	11	4718
9602	34	4707
10929	47	7441
6152	7	3645
5679	10	3314
5741	7	10121
5930	34	6622
7999	31	5579
5079	10	3255
1107	15	890
8721	10	3172
1670	31	11321
6190	40	293
8062	22	4649
11390	10	5959
5924	34	2113
7312	15	895
5466	47	7708
10949	47	8116
8290	45	11051
4372	39	1285
4698	24	885
6602	11	5133
11388	11	8116
6758	47	496
9573	10	3999
10096	15	889
6620	34	7504
8546	11	3810
6966	11	4133
1011	15	889
10025	47	6485
5046	15	892
1685	25	3450
1018	15	895
1819	10	7540
2440	15	889
10228	7	3691
9005	10	7932
6944	11	6956
4879	10	6519
120	47	9425
4470	10	3172
8777	10	3875
919	15	892
7791	31	2353
10498	15	898
2539	13	8726
6278	24	4703
930	15	893
11283	43	5168
7965	11	7478
7284	11	4486
10258	31	5579
2706	33	10064
6009	48	6288
2426	21	4719
9481	10	6213
170	10	5196
8101	31	5579
6462	14	4613
9805	43	9635
11038	10	3093
1090	15	897
2415	13	10508
6662	47	5160
11096	43	6001
3854	47	10319
7406	47	10719
2276	15	898
3079	21	5016
1447	7	7087
4627	25	9720
10545	21	9075
6803	10	6213
8548	43	5168
801	21	8358
10575	10	4005
10187	11	7784
8829	47	6657
2751	10	3093
7692	31	6378
6650	31	2935
5103	10	3609
1200	15	892
4415	21	5088
6907	21	3827
7396	15	1689
2877	11	7784
10022	47	2162
9127	25	2194
5082	10	3204
5708	31	10735
2105	23	4887
9592	15	891
10963	47	4600
11167	47	1627
2334	43	9882
8629	10	3093
6919	15	897
10770	10	3393
6820	21	9074
10422	31	3888
10438	21	11177
5044	7	7332
11229	31	5579
1678	15	892
10947	10	3172
11291	11	10119
6352	15	890
1839	7	10199
9914	15	894
1960	21	6721
10951	13	9455
3079	47	10316
10988	23	5454
7252	47	6700
3930	10	10611
7089	25	2872
6105	25	8895
3395	13	3398
7810	47	3019
1397	21	7929
7896	25	290
1989	15	890
2806	21	2856
5002	11	2220
8422	47	4603
9983	47	4197
4426	10	8222
6278	24	4730
7597	11	10203
4194	15	897
5014	15	894
7724	11	3319
3001	21	2668
3456	47	10316
1704	34	6895
